id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Electric Dreams,Pulse Wave,edm,euphoric,0.95,140,0.88,0.92,0.03
12,Crown Up,Street Cipher,hip-hop,confident,0.78,95,0.72,0.85,0.12
13,Back Road Goodbye,Dusty Hollows,country,nostalgic,0.48,104,0.62,0.55,0.68
14,Moonlit Sonata,Clara Voss,classical,peaceful,0.22,72,0.74,0.30,0.97
15,Iron Throne,Wraith Engine,metal,aggressive,0.97,180,0.31,0.58,0.04
16,Velvet Hours,Jasmine Skye,r&b,romantic,0.55,88,0.79,0.68,0.45
17,Autumn Letters,The Woodshed,folk,melancholic,0.30,96,0.44,0.42,0.88
18,Island Pulse,Coral Drift,reggae,uplifting,0.61,102,0.83,0.70,0.52
19,Delta Midnight,Blue Porch,blues,sad,0.33,85,0.39,0.44,0.74
20,Neon Trap,Dark Frequency,trap,hype,0.86,145,0.58,0.90,0.06
